0,lct,acc,coop,qunt,qual,expert
132,0.5,1,0,0.503287311,0.300363306,0
133,0.5,1,0,0.50324622,0.001425389,0
134,0.5,0.02,0,0.50324622,0.235111269,0
135,0.5,1,0,0.50324622,0.241270831,0
136,0.5,1,0,0.50324622,0.235102452,0
137,0.5,0.02,0,0.50324622,0.233554851,0
138,0.5,1,0,0.503287311,0.301369257,0
139,0.5,1,0,0.50324622,0.235032837,0
140,0.5,1,0,0.50324622,0.240286698,0
141,0.5,1,0,0.50324622,0.241989066,0
142,0.5,0.02,0,0.50324622,0.235091025,0
143,0.5,1,0,0.503287311,0.245333562,0
144,0.5,1,0,0.50324622,0.246346077,0
145,0.5,0.02,0,0.50324622,0.2350956,0
146,0.385,0.02,0,0.387591223,0.300087729,0
147,0.5,0.02,0,0.50324622,0.244332778,0
148,0.5,1,0,0.50324622,0.242690611,0
149,0.5,0.02,0,0.50324622,0.243185759,0
150,0.465,1,0,0.468145135,0.355112363,0
151,0.5,1,0,0.503287311,0.29764535,0
152,0.5,1,0,0.50324622,0.240437344,0
153,0.5,0.02,0,0.50324622,0.243399533,0
154,0.5,0.02,0,0.503287311,0.292288646,0
155,0.5,1,0,0.50324622,0.235079264,0
156,0.5,1,0,0.50324622,0.244367441,0
157,0.3,1,0,0.302087442,0.303093152,0
158,0.5,1,0,0.50324622,0.241270831,0
159,0.5,0.02,0,0.503287311,0.303674908,0
160,0.5,1,0,0.50324622,0.240868199,0
161,0.5,1,0,0.50324622,0.24579597,0
162,0.5,0.02,0,0.50324622,0.239621088,0
163,0.5,1,0,0.50324622,0.24023529,0
164,0.5,1,0,0.503287311,0.294236122,0
165,0.5,0.02,0,0.50324622,0.241369531,0
166,0.5,0.02,0,0.503287311,0.298106953,0
167,0.5,1,0,0.50324622,0.242277017,0
168,0.5,0.02,0,0.50324622,0.242042021,0
169,0.5,0.02,0,0.50324622,0.243576932,0
170,0.5,0.02,0,0.50324622,0.236794113,0
171,0.5,1,0,0.50324622,0.240269209,0
172,0.5,0.02,0,0.50324622,0.23509819,0
173,0.5,1,0,0.50324622,0.247373084,0
174,0.5,1,0,0.503287311,0.297418569,0
175,0.5,0.02,0,0.50324622,0.239938044,0
176,0.5,1,0,0.50324622,0.241369531,0
177,0.5,1,0,0.503287311,0.292300404,0
178,0.5,1,0,0.50324622,0.231065399,0
179,0.5,1,0,0.50324622,0.239564166,0
180,0.375,0.02,0,0.377486029,0.29570115,0
181,0.5,1,0,0.50324622,0.235103974,0
182,0.5,1,0,0.503287311,0.252058219,0
183,0.5,1,0,0.50324622,0.239563779,0
184,0.5,1,0,0.50324622,0.23509819,0
185,0.5,1,0,0.503328402,0.301675356,0
186,0.5,1,0,0.50324622,0.235092246,0
187,0.5,1,0,0.50324622,0.241377112,0
188,0.5,1,0,0.50324622,0.240459761,0
189,0.5,1,0,0.50324622,0.23509819,0
190,0.5,1,0,0.50324622,0.235103669,0
191,0.5,1,0,0.50324622,0.240720298,0
192,0.5,1,0,0.50324622,0.243925798,0
193,0.45,0.02,0,0.452925707,0.233866655,0
194,0.5,0.02,0,0.503287311,0.300225906,0
195,0.5,1,0,0.50324622,0.240292341,0
196,0.5,1,0,0.503287311,0.299285723,0
197,0.5,1,0,0.50324622,0.241374947,0
198,0.5,1,0,0.50324622,0.242553411,0
199,0.5,0.02,0,0.50324622,0.24029001,0
200,0.5,0.02,0,0.50324622,0.237294226,0
201,0.5,1,0,0.503328402,0.32141285,0
202,0.5,1,0,0.503328402,0.320508282,0
203,0.5,0.02,0,0.50324622,0.231144155,0
204,0.5,1,0,0.50324622,0.236802238,0
205,0.5,0.02,0,0.50324622,0.236802238,0
206,0.5,1,0,0.50324622,0.236802238,0
207,0.5,0.02,0,0.50324622,0.236802238,0
208,0.5,1,0,0.503287311,0.290122076,0
209,0.5,0.02,0,0.50324622,0.231144155,0
210,0.5,1,0,0.503328402,0.320111509,0
211,0.5,1,0,0.50324622,0.236802238,0
212,0.5,1,0,0.50324622,0.236802238,0
213,0.5,1,0,0.503328402,0.321153958,0
214,0.5,1,0,0.50324622,0.022157786,0
215,0.5,1,0,0.50324622,0.221210753,0
216,0.5,1,0,0.503328402,0.327474782,0
217,0.5,1,0,0.503369494,0.32161621,0
218,0.5,0.02,0,0.50324622,0.236802238,0
219,0.5,0.02,0,0.503287311,0.232569544,0
220,0.5,1,0,0.503328402,0.326296801,0
221,0.5,1,0,0.503287311,0.069114811,0
222,0.5,1,0,0.50324622,0.23291407,0
223,0.5,0.02,0,0.503287311,0.290122076,0
224,0.5,0.02,0,0.503287311,0.242935743,0
225,0.5,1,0,0.50324622,0.236802238,0
226,0.5,0.02,0,0.50324622,0.236802238,0
227,0.5,1,0,0.503287311,0.294010244,0
228,0.5,1,0,0.503287311,0.296260201,0
229,0.5,1,0,0.503369494,0.32161621,0
230,0.5,1,0,0.503287311,0.288352161,0
231,0.5,1,0,0.50324622,0.236802238,0
232,0.5,1,0,0.503328402,0.326653832,0
233,0.5,1,0,0.503287311,0.290122076,0
234,0.5,0.02,0,0.50324622,0.236802238,0
235,0.5,0.02,0,0.503287311,0.286109915,0
236,0.5,1,0,0.50324622,0.236802238,0
237,0.5,1,0,0.503287311,0.296267511,0
238,0.5,1,0,0.503328402,0.321303077,0
239,0.5,1,0,0.50324622,0.236802238,0
240,0.5,0.02,0,0.50324622,0.236802238,0
241,0.5,1,0,0.503287311,0.297667811,0
242,0.475,1,0,0.478127055,0.293304463,0
243,0.5,1,0,0.50324622,0.240459806,0
244,0.5,1,0,0.50324622,0.237294226,0
245,0.5,1,0,0.50324622,0.231811226,0
246,0.5,0.02,0,0.503287311,0.286646971,0
247,0.5,0.02,0,0.503369494,0.32206646,0
248,0.2,1,0.006944444,0.201364234,0.037286545,0
249,0.5,0.02,0,0.503287311,0.28705738,0
250,0.4,0.02,0,0.402728468,0.349841021,0
251,0.5,0.02,0,0.50324622,0.001425389,0
252,0.5,0.02,0,0.50324622,0.231144155,0
253,0.5,1,0,0.503287311,0.232569544,0
254,0.5,0.02,0,0.50324622,0.231144155,0
255,0.5,0.02,0,0.50324622,0.231144155,0
256,0.45,1,0,0.452925707,0.231144155,0
257,0,1,0,0.000123274,0.300143748,0
258,0.5,0.02,0,0.50324622,0.237418351,0
259,0.5,0.02,0,0.50324622,0.231144155,0
260,0.5,1,0,0.50324622,0.230623589,0
261,0.5,1,0,0.503287311,0.294502232,0
262,0.5,1,0,0.503287311,0.296054058,0
263,0.5,1,0,0.50324622,0.235943885,0
264,0.5,1,0,0.503328402,0.329218808,0
265,0.5,1,0,0.50324622,0.235943885,0
266,0.5,1,0,0.503287311,0.291210378,0
267,0.5,1,0,0.50324622,0.235943885,0
268,0.5,0.02,0,0.503287311,0.293584682,0
269,0.5,0.02,0,0.503328402,0.32659655,0
270,0.5,1,0,0.50324622,0.237294226,0
271,0.5,1,0,0.50324622,0.235943885,0
272,0.5,0.02,0,0.50324622,0.24968111,0
273,0.5,0.02,0,0.503287311,0.291210378,0
274,0.5,0.02,0,0.503287311,0.291210378,0
275,0.5,1,0,0.503328402,0.327151019,0
276,0,1,0,8.22E-05,0.293605084,0
277,0.5,1,0,0.503287311,0.291047786,0
278,0,1,0,8.22E-05,0.293672441,0
279,0.5,1,0,0.503328402,0.326799999,0
280,0,1,0,8.22E-05,0.293829823,0
281,0.5,1,0,0.50324622,0.230573749,0
282,0.5,1,0,0.503328402,0.327519106,0
283,0.5,1,0,0.503410585,0.362556007,0
284,0.5,0.02,0,0.503287311,0.291305889,0
285,0.475,1,0,0.478127055,0.236904276,0
286,0.5,0.02,0,0.503328402,0.292779234,0
287,0.5,1,0,0.503410585,0.369591866,0
288,0.5,0.02,0,0.503287311,0.291076657,0
289,0.5,0.02,0,0.50324622,0.234117202,0
290,0.5,0.02,0,0.503328402,0.240143565,0
291,0.5,1,0,0.50324622,0.233795434,0
292,0.5,0.02,0,0.50324622,0.235943885,0
293,0.5,0.02,0,0.50324622,0.235943885,0
294,0.5,0.02,0,0.503287311,0.293829823,0
295,0.5,0.02,0,0.503287311,0.293487811,0
296,0.5,1,0,0.503287311,0.293829823,0
297,0.5,1,0,0.503287311,0.293829823,0
298,0.5,1,0,0.503287311,0.293829823,0
299,0.5,0.02,0,0.503287311,0.293829823,0
300,0.5,1,0,0.503328402,0.327519106,0
301,0.5,1,0,0.503287311,0.301068462,0
302,0.5,0.02,0.006944444,0.50324622,0.001425389,0
303,0.5,0.02,0,0.50324622,0.001425389,0
304,0.5,1,0,0.503287311,0.006079591,0
305,0.5,1,0,0.50324622,0.015020401,0
306,0.5,1,0,0.503328402,0.331443364,0
307,0.5,1,0,0.50324622,0.004654202,0
308,0.5,1,0,0.50324622,0.001425389,0
309,0.5,1,0,0.50324622,0.239453908,0
310,0.5,0.02,0,0.50324622,0.001425389,0
311,0.5,0.02,0,0.50324622,0.001425389,0
312,0.5,1,0,0.50324622,0.001425389,0
313,0.5,0.02,0,0.50324622,0.001425389,0
314,0.5,1,0,0.50324622,0.011791588,0
315,0.5,1,0,0.50324622,0.011791588,0
316,0.475,1,0,0.478127055,0.291351591,0
317,0.5,1,0,0.50324622,0.001425389,0
318,0.5,1,0.006944444,0.50324622,0.001425389,0
319,0.5,1,0,0.503287311,0.002850778,0
320,0.5,0.02,0,0.50324622,0.001425389,0
321,0.5,1,0,0.50324622,0.011791588,0
322,0.5,0.02,0,0.50324622,0.001425389,0
323,0.35,1,0,0.352284681,0.022157786,0
324,0.5,1,0,0.50324622,0.011791588,0
325,0.5,0.02,0,0.50324622,0.001425389,0
326,0.5,1,0,0.50324622,0.001425389,0
327,0.5,1,0,0.50324622,0.001425389,0
328,0.5,0.02,0,0.50324622,0.001425389,0
329,0.5,1,0,0.50324622,0.001425389,0
330,0.5,0.02,0,0.50324622,0.001425389,0
331,0.5,1,0,0.50324622,0.001425389,0
332,0.5,1,0,0.50324622,0.001425389,0
333,0.5,0.02,0.006944444,0.503287311,0.002850778,0
334,0.375,1,0.006944444,0.377486029,0.026920346,0
335,0.5,0.02,0,0.50324622,0.001425389,0
336,0.5,1,0,0.50324622,0.001425389,0
337,0,0.02,0,8.22E-05,0.019280814,0
338,0.5,1,0,0.50324622,0.001425389,0
339,0.5,0.02,0,0.50324622,0.001425389,0
340,0.5,1,0,0.50324622,0.001425389,0
341,0.5,1,0,0.50324622,0.001425389,0
342,0.5,0.02,0,0.503287311,0.002850778,0
343,0.5,1,0.006944444,0.50324622,0.011791588,0
344,0.5,0.02,0,0.503287311,0.002850778,0
345,0.5,0.02,0.006944444,0.50324622,0.001425389,0
346,0.5,0.02,0,0.50324622,0.001425389,0
347,0.5,0.02,0,0.50324622,0.001425389,0
348,0.5,0.02,0,0.50324622,0.001425389,0
349,0.4,0.02,0,0.402605194,0.001425389,0
350,0.5,0.02,0,0.50324622,0.001425389,0
351,0.5,0.02,0.006944444,0.50324622,0.001425389,0
352,0.5,0.02,0,0.50324622,0.001425389,0
353,0.5,1,0,0.50324622,0.011791588,0
354,0.5,1,0,0.50324622,0.001425389,0
355,0.5,1,0,0.50324622,0.001425389,0
356,0.5,1,0,0.50324622,0.001425389,0
357,0.5,1,0,0.50324622,0.001425389,0
358,0.5,0.02,0,0.50324622,0.001425389,0
359,0.45,0.02,0,0.452925707,0.039784883,0
360,0.5,1,0,0.50324622,0.001425389,0
361,0.5,0.02,0,0.50324622,0.001425389,0
362,0.5,1,0,0.50324622,0.001425389,0
363,0.5,1,0,0.50324622,0.001425389,0
364,0.5,0.02,0,0.50324622,0.001425389,0
365,0.5,1,0,0.50324622,0.001425389,0
366,0.5,0.02,0,0.50324622,0.001425389,0
367,0.5,1,0,0.50324622,0.001425389,0
368,0.5,1,0,0.50324622,0.001425389,0
369,0.5,0.02,0,0.50324622,0.001425389,0
370,0.5,1,0.006944444,0.50324622,0.001425389,0
371,0.45,0.02,0.006944444,0.452925707,0.025494957,0
372,0.5,1,0,0.50324622,0.001425389,0
373,0.5,1,0.006944444,0.50324622,0.001425389,0
374,0.5,0.02,0,0.50324622,0.001425389,0
375,0.5,1,0.006944444,0.50324622,0.001425389,0
376,0.5,0.02,0.006944444,0.50324622,0.001425389,0
377,0.5,1,0,0.50324622,0.001425389,0
378,0.5,1,0,0.50324622,0.001425389,0
379,0.5,1,0,0.503287311,0.019280814,0
380,0.5,1,0,0.50324622,0.001425389,0
381,0.5,1,0,0.50324622,0.001425389,0
382,0.5,1,0,0.503287311,0.002850778,0
383,0.5,0.02,0,0.503328402,0.330658927,0
384,0.5,0.02,0,0.50324622,0.001425389,0
385,0.45,0.02,0,0.452925707,0.028221624,0
386,0.5,1,0,0.50324622,0.001425389,0
387,0.5,0.02,0,0.50324622,0.001425389,0
388,0.5,1,0,0.50324622,0.001425389,0
389,0.5,1,0.006944444,0.50324622,0.001425389,0
390,0.5,1,0,0.503369494,0.328939541,0
391,0,0.02,0,8.22E-05,0.002850778,0
392,0.5,0.02,0,0.50324622,0.001425389,0
393,0.4,1,0,0.402646285,0.002850778,0
394,0.5,1,0,0.50324622,0.001425389,0
395,0.5,1,0,0.50324622,0.001425389,0
396,0.5,1,0,0.50324622,0.001425389,0
397,0.5,0.02,0,0.50324622,0.001425389,0
398,0.5,1,0,0.50324622,0.001425389,0
399,0.5,1,0,0.50324622,0.022157786,0
400,0.5,1,0,0.50324622,0.001425389,0
401,0,1,0,0.000164366,0.349738497,0
402,0.5,1,0,0.50324622,0.011791588,0
403,0.5,1,0.006944444,0.503287311,0.019280814,0
404,0.425,0.02,0,0.427806542,0.296622607,0
405,0.5,1,0,0.50324622,0.011791588,0
406,0.5,0.02,0,0.50324622,0.022157786,0
407,0.5,1,0.006944444,0.50324622,0.025494957,0
408,0.3,1,0,0.301964168,0.025494957,0
409,0.5,1,0,0.50324622,0.001425389,0
410,0.5,0.02,0,0.503287311,0.013216976,0
411,0.5,1,0,0.50324622,0.011791588,0
412,0.5,0.02,0,0.50324622,0.022157786,0
413,0.5,0.02,0,0.503287311,0.002850778,0
414,0.5,0.02,0,0.50324622,0.011791588,0
415,0.5,0.02,0,0.50324622,0.011791588,0
416,0.5,1,0.006944444,0.503328402,0.074573089,0
417,0.5,1,0,0.503369494,0.086090261,0
418,0.5,0.02,0,0.50324622,0.025494957,0
419,0,1,0,8.22E-05,0.033949374,0
420,0.45,1,0,0.452925707,0.231144155,0
421,0.5,0.02,0,0.50324622,0.011791588,0
422,0.5,0.02,0,0.50324622,0.011791588,0
423,0.425,1,0,0.427806542,0.002850778,0
424,0.5,0.02,0,0.50324622,0.028221624,0
425,0,1,0,8.22E-05,0.079481009,0
426,0.5,1,0,0.50324622,0.025494957,0
427,0.5,1,0.006944444,0.50324622,0.028221624,0
428,0.5,1,0.006944444,0.50324622,0.017855425,0
429,0.3,0.02,0.006944444,0.301964168,0.001425389,0
430,0.5,0.02,0,0.50324622,0.022157786,0
431,0.5,1,0,0.50324622,0.001425389,0
432,0.5,1,0,0.50324622,0.011791588,0
433,0.5,1,0,0.50324622,0.025494957,0
434,0.5,0.02,0,0.50324622,0.001425389,0
435,0.5,1,0,0.50324622,0.022157786,0
436,0.5,1,0,0.50324622,0.037286545,0
437,0.5,0.02,0,0.50324622,0.001425389,0
438,0.5,1,0,0.50324622,0.025494957,0
439,0.25,1,0,0.251684747,0.037286545,0
440,0,1,0,8.22E-05,0.019280814,0
441,0.335,1,0,0.337517258,0.419544866,0
442,0,1,0,8.22E-05,0.026920346,0
443,0.5,0.02,0.006944444,0.50324622,0.001425389,0
444,0.5,0.02,0,0.50324622,0.001425389,0
445,0.5,0.02,0,0.50324622,0.001425389,0
446,0.5,1,0,0.50324622,0.034285462,0
447,0.5,1,0.006944444,0.503287311,0.019280814,0
448,0.3,1,0,0.30200526,0.026920346,0
449,0.5,1,0,0.50324622,0.017855425,0
450,0.35,0.02,0.013888889,0.352325773,0.023583175,0
451,0.5,1,0,0.50324622,0.001425389,0
452,0.5,0.02,0,0.50324622,0.034285462,0
453,0.5,1,0,0.503287311,0.040013212,0
454,0.5,0.02,0,0.50324622,0.028221624,0
455,0.5,1,0,0.50324622,0.030526988,0
456,0.5,0.02,0,0.50324622,0.022157786,0
457,0.5,0.02,0,0.503287311,0.026920346,0
458,0.5,0.02,0,0.50324622,0.001425389,0
459,0.5,1,0,0.503287311,0.044315573,0
460,0.5,0.02,0,0.50324622,0.022157786,0
461,0.5,1,0,0.50324622,0.042890184,0
462,0.5,0.02,0.006944444,0.50324622,0.011791588,0
463,0.5,1,0,0.50324622,0.022157786,0
464,0.5,0.02,0,0.50324622,0.001425389,0
465,0.5,1,0,0.50324622,0.001425389,0
466,0.5,0.02,0,0.50324622,0.022157786,0
467,0.5,0.02,0,0.50324622,0.017855425,0
468,0.5,1,0,0.50324622,0.025494957,0
469,0.5,0.02,0,0.50324622,0.051259386,0
470,0.5,1,0,0.50324622,0.237939308,0
471,0,1,0,0.000164366,0.098032154,0
472,0.5,1,0,0.50324622,0.017855425,0
473,0.5,1,0,0.50324622,0.001425389,0
474,0.5,1,0,0.50324622,0.037286545,0
475,0.5,0.02,0,0.50324622,0.028221624,0
476,0.5,1,0,0.50324622,0.001425389,0
477,0.5,1,0.006944444,0.50324622,0.011791588,0
478,0.485,1,0.006944444,0.488232249,0.263801859,0
479,0.5,0.02,0,0.50324622,0.025494957,0
480,0.2,1,0.006944444,0.201323143,0.001425389,0
481,0.5,1,0,0.50324622,0.017855425,0
482,0.45,0.02,0,0.452966798,0.237674137,0
483,0.5,1,0.006944444,0.503287311,0.023583175,0
484,0.5,0.02,0,0.503287311,0.002850778,0
485,0,0.02,0,0.000164366,0.349738497,0
486,0.5,1,0.006944444,0.50324622,0.001425389,0
487,0.5,1,0,0.50324622,0.011791588,0
488,0.5,1,0,0.50324622,0.001425389,0
489,0.5,1,0,0.503369494,0.354830079,0
490,0.5,1,0,0.50324622,0.001425389,0
491,0.5,1,0,0.50324622,0.038587823,0
492,0.5,0.02,0,0.50324622,0.233753475,0
493,0.5,0.02,0,0.50324622,0.017855425,0
494,0.5,1,0,0.50324622,0.017855425,0
495,0.4,1,0,0.402646285,0.033949374,0
496,0.5,1,0,0.50324622,0.028221624,0
497,0.5,1,0,0.50324622,0.001425389,0
498,0.5,1,0.006944444,0.50324622,0.017855425,0
499,0.5,1,0,0.503287311,0.293829823,0
500,0.5,1,0,0.50324622,0.011791588,0
501,0.5,0.02,0,0.503328402,0.333498071,0
502,0.45,1,0,0.452925707,0.236802238,0
503,0.5,1,0,0.503451677,0.386553505,0
504,0.5,1,0,0.503410585,0.381979278,0
505,0.5,0.02,0,0.503328402,0.330903301,0
506,0.5,0.02,0,0.503328402,0.330701575,0
507,0,1,0,0.000123274,0.333218873,0
508,0.5,0.02,0,0.503410585,0.371944545,0
509,0.5,0.02,0,0.503410585,0.37062385,0
510,0,0.02,0,0.000246548,0.372049239,0
511,0.5,1,0,0.50324622,0.236802238,0
512,0,1,0,0.000123274,0.333637268,0
513,0.5,0.02,0,0.503369494,0.352596811,0
514,0.4,1,0,0.402605194,0.001425389,0
515,0.5,1,0,0.503369494,0.356027773,0
516,0,1,0,0.000493097,0.447515784,0
517,0,1,0,0.000123274,0.328873948,0
518,0.5,1,0,0.503287311,0.292341208,0
519,0,1,0,0.000123274,0.3322448,0
520,0,1,0,0.000123274,0.331699675,0
521,0,1,0,0.000246548,0.373839969,0
522,0.5,1,0,0.503410585,0.368140702,0
523,0.5,1,0,0.50324622,0.001425389,0
524,0.5,0.02,0,0.503328402,0.329491195,0
525,0.5,1,0,0.503451677,0.390498138,0
526,0.5,1,0,0.50324622,0.241044799,0
527,0.5,1,0,0.503328402,0.340564904,0
528,0.4,1,0,0.402605194,0.001425389,0
529,0.5,0.02,0,0.50324622,0.243508441,0
530,0.5,1,0,0.503410585,0.375839509,0
531,0.475,1,0,0.478127055,0.302062578,0
532,0.5,0.02,0,0.50324622,0.247612831,0
533,0.34,0.02,0,0.342343853,0.357425752,0
534,0.5,1,0,0.50324622,0.241627034,0
535,0.5,1,0,0.503287311,0.295834881,0
536,0.5,1,0,0.50324622,0.237294226,0
537,0.425,1,0,0.427806542,0.294681191,0
538,0.5,1,0,0.503328402,0.333186991,0
539,0.5,1,0,0.503369494,0.355067008,0
540,0.5,1,0,0.503369494,0.335499204,0
541,0.5,1,0,0.503328402,0.32874605,0
542,0.5,1,0,0.503328402,0.327649135,0
543,0.5,0.02,0,0.503287311,0.290122076,0
544,0.5,1,0,0.503328402,0.332294878,0
545,0.5,0.02,0,0.50324622,0.237294226,0
546,0.475,1,0,0.478537968,0.425253855,0
547,0.5,1,0,0.503410585,0.374086293,0
548,0.5,1,0,0.503328402,0.329010798,0
549,0.5,1,0,0.503328402,0.333177233,0
550,0,1,0,8.22E-05,0.295060396,0
551,0.5,1,0,0.503616042,0.427519481,0
552,0.5,1,0,0.503451677,0.392414308,0
553,0.5,0.02,0,0.50324622,0.236478475,0
554,0.5,1,0,0.503287311,0.293189591,0
555,0.5,1,0,0.503287311,0.293686481,0
556,0.5,1,0,0.503410585,0.375513532,0
