name,inst,ntisQual,remainQual,lct,acc,coop,qunt,qual,expert
문영수,한국과학기술정보연구원 개방형데이터융합연구단,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
류우석,부산가톨릭대학교,3.568266181,1.16969808,0,1,0,0.00028764,0.311995375,0
박소윤,LG CNS AI빅데이터연구소 기술팀,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
강상우,가천대학교,4.248383329,0.09531018,0.48,1,0,0.48328238,0.35206021,0
김명지,"LG CNS, AI빅데이터연구소",0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
임준호,한국전자통신연구원,0,0.09531018,0.5,0.02,0.006944444,0.50324622,0.001425389,0
이창기,강원대학교,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
조우현,부경대학교,0,0.19062036,0.5,1,0,0.503287311,0.002850778,0
권순선,아주대학교,4.545238056,0,0.5,0.02,0,0.503410585,0.375135342,0
김별님,경북대학교,4.537293642,0,0.5,1,0,0.503410585,0.37447966,0
윤태현,한양대학교,4.13036415,0,0.465,1,0,0.468104043,0.340894261,0
전인태,가톨릭대학교,4.29003865,0,0,1,0,0.000164366,0.354072789,0
하형태,가천대학교,4.228188772,0,0,1,0,0.000164366,0.348968089,0
윤민,부경대학교,4.515357689,0,0.5,1,0,0.503410585,0.372669204,0
임병화,수원대학교,4.241669716,0,0,0.02,0,0.000164366,0.350080721,0
김서령,서울대학교,4.702562047,0,0.5,0.02,0,0.503451677,0.388119874,0
김대용,서울대학교,3.947318842,0,0.485,0.02,0,0.488232249,0.325786853,0
김영일,중앙대학교,3.928108818,0,0.485,0.02,0,0.488232249,0.324201378,0
황형주,포항공과대학교,4.536554985,0,0.5,1,0,0.503410585,0.374418696,0
백문창,경북대학교,4.861156917,0,0,1,0,0.000246548,0.401209296,0
한선영,성균관대학교,4.241669716,0,0,1,0,0.000164366,0.350080721,0
오은성,한서대학교,4.241669716,0,0,1,0,0.000164366,0.350080721,0
장항석,연세대학교,2.820693288,0,0.45,1,0,0.452925707,0.232802271,0
조윤정,대구가톨릭대학교,4.211839224,0,0,0.02,0,0.000164366,0.3476187,0
김도영,아주대학교,3.50748834,0,0.5,1,0,0.503287311,0.289486012,0
김도영,수원시정연구원 도시공간연구실,0,2.292534757,0.45,1,0.006944444,0.452925707,0.034285462,0
박준범,이화여자대학교,4.515357689,0,0.5,1,0,0.503410585,0.372669204,0
배정민,가톨릭대학교,4.27907409,0,0,1,0,0.000164366,0.353167843,0
정일민,건국대학교,4.569416602,0,0.5,1,0,0.503410585,0.377130887,0
김미현,가천대학교,4.557674826,0,0.5,0.02,0,0.503410585,0.376161794,0
차재명,경희대학교,3.991529773,0,0.485,0.02,0,0.488232249,0.329435745,0
석경하,인제대학교,3.984397658,0,0.485,0.02,0,0.488232249,0.328847105,0
차미영,한국과학기술원,4.532944778,0.09531018,0,1,0,0.000246548,0.375546121,0
차미영,IBS 데이터사이언스 그룹,0,0.09531018,0.5,0.02,0.006944444,0.50324622,0.001425389,0
이현희,가천대학교,4.316770143,0,0,1,0,0.000164366,0.356279038,0
정혜원,한국과학기술원,4.69475021,0,0.5,1,0,0.503451677,0.387475134,0
정혜원,충남대학교,3.529772518,2.136530509,0.5,1,0,0.503369494,0.323277584,0
Graziano Rossi,세종대학교,4.847611336,0,0.5,1,0,0.503492768,0.400091329,0
최연호,고려대학교,4.548181515,0,0.5,0.02,0,0.503410585,0.375378276,0
백은옥,한양대학교,4.301296985,0,0,1,0,0.000164366,0.355001981,0
이동우,성균관대학교(자연과학캠퍼스),4.521063251,0,0.5,1,0,0.503410585,0.373140105,0
최민,충북대학교,4.029500593,0,0.5,1,0,0.503328402,0.332569617,0
김우연,한국과학기술원,4.529084777,0,0,1,0,0.000205457,0.373802152,0
김동율,세명대학교,3.892787878,0,0.485,1,0,0.488232249,0.32128621,0
손창호,육군3사관학교,4.211839224,2.387844937,0.485,1,0,0.488355523,0.383329551,0
육동석,고려대학교,4.326555426,0,0,0.02,0,0.000164366,0.357086654,0
문은수,부산대학교,3.917285725,0,0.485,1,0,0.488232249,0.323308109,0
강병오,동아대학교,4.211839224,0.09531018,0.5,1,0,0.503410585,0.349044089,0
김민정,연세대학교,4.144500283,0,0,0.02,0,0.000164366,0.342060968,0
김경임,고려대학교,4.23140301,0,0.5,1,0,0.503369494,0.349233372,0
노승문,홍익대학교,3.944492595,0,0.5,0.02,0,0.503328402,0.325553592,0
구동영,한성대학교,4.442702002,0,0,1,0,0.000205457,0.366672661,0
김상희,계명대학교,4.649618008,0,0.5,1,0,0.503451677,0.383750206,0
최원준,가천대학교,4.211839224,0,0,0.02,0,0.000164366,0.3476187,0
최원준,국립농업과학원 기후변화평가과,0,0.09531018,0.5,0.02,0.006944444,0.50324622,0.001425389,0
전새봄,목원대학교,4.634850979,0,0.5,1,0,0.503451677,0.382531428,0
유병철,가천대학교,4.211839224,0,0,1,0,0.000164366,0.3476187,0
오현석,광주과학기술원,4.481816535,0.09531018,0.5,1,0,0.503451677,0.371326317,0
이남길,강원대학교,4.211839224,0,0,0.02,0,0.000164366,0.3476187,0
조태제,한양대학교,4.289588215,0,0,1,0,0.000164366,0.354035613,0
안상진,인제대학교,3.944492595,0,0.5,0.02,0,0.503328402,0.325553592,0
정기헌,경희대학교,4.211839224,0,0,1,0,0.000164366,0.3476187,0
김성환,계명대학교,2.845880306,0,0.45,1,0,0.452925707,0.234881049,0
최윤성,호원대학교,3.944492595,0,0.5,1,0,0.503328402,0.325553592,0
최윤성,다이텍연구원 소재빅데이터연구센터,0,0.09531018,0.5,0.02,0,0.50324622,0.001425389,0
김무철,원광대학교,2.845880306,0.09531018,0.45,1,0,0.452966798,0.236306438,0
김무철,중앙대학교,4.483635391,0,0,1,0,0.000205457,0.370051045,0
유기연,동덕여자대학교,4.207741194,0,0,1,0,0.000164366,0.347280475,0
이신범,대구경북과학기술원,2.845880306,0,0.45,0.02,0,0.452925707,0.234881049,0
이승환,한국항공대학교,3.944492595,0,0.5,0.02,0,0.503328402,0.325553592,0
왕린,인천대학교,3.917285725,0,0.485,0.02,0,0.488232249,0.323308109,0
백창기,포항공과대학교,3.794002968,0,0.475,1,0,0.478127055,0.313133126,0
김돈규,중앙대학교,3.079420943,0,0.45,1,0,0.452925707,0.254156023,0
배영찬,대구경북과학기술원,2.935246641,0,0.45,0.02,0,0.452925707,0.242256783,0
김덕진,서울대학교,2.822047882,0,0.4,1,0,0.402605194,0.23291407,0
이석형,청운대학교,2.822047882,0,0.4,1,0,0.402605194,0.23291407,0
이석형,"CONVERGENCE SERVICE CENTER, KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY INFORMATION",0,0.88376754,0.425,1,0,0.427806542,0.013216976,0
손윤석,부경대학교,2.875119001,0,0.45,1,0,0.452925707,0.237294226,0
김정범,남서울대학교,4.046696778,1.289232648,0.42,1,0,0.422897765,0.353269696,0
김윤학,부산대학교,5.154308846,0,0.5,1,0,0.503574951,0.425404211,0
김윤학,조선대학교,4.237486057,0,0.5,0.02,0,0.503369494,0.349735429,0
이지현,경희대학교,4.033858929,0,0.5,1,0,0.503328402,0.332929327,0
이지현,광주과학기술원,4.56137371,0,0.5,1,0,0.503410585,0.376467077,0
최준호,부경대학교,4.355359848,0,0.5,1,0,0.503369494,0.359463989,0
천병구,한양대학교,4.897302346,0,0.5,0.02,0,0.503492768,0.404192512,0
도영경,서울대학교,4.038908807,0,0.5,1,0,0.503328402,0.333346112,0
정회일,한양대학교,4.320794708,0,0.5,1,0,0.503369494,0.3566112,0
남범석,성균관대학교,4.33670641,0,0.5,1,0,0.503369494,0.357924452,0
허준,연세대학교,4.545271906,1.800058272,0.5,1,0,0.503492768,0.402058481,0
허준,경민대학교,0,1.193922468,0.5,0.02,0,0.50324622,0.017855425,0
서태석,가톨릭대학교,4.299768349,0,0.5,1,0,0.503369494,0.354875817,0
강도영,동아대학교,4.038264078,0,0.5,1,0,0.503328402,0.3332929,0
박인규,한국과학기술원,4.034643626,0,0.5,1,0,0.503328402,0.332994091,0
LIAQAT UMAR WAQAS,성균관대학교,2.898463592,0,0.45,0.02,0,0.452925707,0.239220942,0
윤성일,중앙대학교,4.301622227,0,0.5,0.02,0,0.503369494,0.355028824,0
박찬혁,한양대학교,3.539027487,0,0,1,0,8.22E-05,0.292089054,0
백성희,서울대학교,4.406847003,0,0.5,0.02,0,0.503369494,0.363713415,0
김성환,건국대학교,3.539027487,0,0,1,0,8.22E-05,0.292089054,0
유기봉,연세대학교,3.539027487,0.78845736,0,1,0,0.000123274,0.303880642,0
유기봉,을지대학교,2.845880306,0,0.45,1,0,0.452925707,0.234881049,0
조병진,충북대학교,4.277855795,0,0.5,1,0,0.503369494,0.353067293,0
조병진,한국기계연구원부설 재료연구소,2.875119001,0,0.45,1,0,0.452925707,0.237294226,0
황영덕,성균관대학교,3.539027487,0,0,1,0,8.22E-05,0.292089054,0
신지연,경북대학교,3.539027487,0,0,1,0,8.22E-05,0.292089054,0
신도형,인하대학교,2.935246641,0.09531018,0.375,0.02,0,0.377486029,0.243682172,0
윤일동,한국외국어대학교,2.862451709,0,0.45,1,0,0.452925707,0.236248748,0
김상일,부산대학교,4.581756705,0,0.5,1,0,0.503410585,0.378149361,0
김상일,한국외국어대학교,2.929634422,0,0.45,1,0,0.452925707,0.241793586,0
강경식,명지대학교,0,0.09531018,0.15,0.02,0,0.15100263,0.001425389,0
연승준,한국전자통신연구원,0,0.19062036,0.3,1,0,0.30200526,0.002850778,0
윤찬현,한국과학기술원,0,0.09531018,0.15,1,0,0.15100263,0.001425389,0
김하진,한국과학기술정보연구원,0,0.09531018,0.15,0.02,0.006944444,0.15100263,0.001425389,0
우성구,남서울대학교,0,0.09531018,0.15,1,0,0.15100263,0.001425389,0
"Choi, Minjung",서울대학교,0,0.09531018,0.15,0.02,0,0.15100263,0.001425389,0
이민수,이화여자대학교,5.26273858,1.575163188,0.395,1,0,0.398148422,0.4579103,0
배해영,중국 중경우전대학교 대학원,0,0.09531018,0.15,0.02,0.006944444,0.15100263,0.001425389,0
